Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH276_d15	15	17800.0	3890000.00	90200	218000.0	142000	32100	50000	7410.0	3810	3570	260000.00	33800	108000	82700.00	21700	6280	19700	13000	436000.00	25400.0	39100	176000.00	25200.0	1640.0	22200	19100
TH276_d15	15	6840.0	1280000.00	44000	96400.0	51800	23800	29000	3260.0	1630	1300	146000.00	18500	41200	57800.00	10200	5670	7760	7200	273000.00	13700.0	19500	108000.00	15200.0	1110.0	9870	7910
TH276_d64	64	939.0	95100.00	3280	623.0	514	103	509	104.0	413	413	82600.00	14500	46600	54100.00	7750	1470	6330	4870	106000.00	6040.0	11700	89700.00	10300.0	550.0	8990	7710
TH311_d8	8	443.0	2780000.00	88400	126000.0	45000	10200	8650	885.0	2220	0	20100.00	9440	27800	6320.00	8040	3600	2220	2240	28800.00	6360.0	9090	12000.00	8340.0	909.0	1630	4350
TH311_d8	8	1920.0	2250000.00	62800	68000.0	27600	6410	6430	1070.0	428	855	21800.00	12900	36300	11600.00	8460	8880	6400	3210	37000.00	10400.0	11800	18900.00	8280.0	1640.0	3590	4640
TH311_d8	8	3250.0	4230000.00	132000	232000.0	91200	26800	21800	1920.0	1920	2320	43500.00	15700	27600	22500.00	7500	6070	9370	2860	62600.00	9150.0	10200	33400.00	12300.0	562.0	7030	4090
TH311_d8	8	0.0	1570000.00	55100	75000.0	21500	6730	5730	672.0	1680	335	5720.00	6380	16900	3200.00	3810	7040	1910	1590	14700.00	5230.0	5940	10300.00	10000.0	670.0	2330	3190
TH311_d66	66	0.0	223000.00	4370	3620.0	198	197	196	0.0	199	0	36800.00	3050	30100	34800.00	20200	4270	4280	1820	36800.00	1310.0	4340	26800.00	11700.0	667.0	2020	672
TH311_d66	66	237.0	151000.00	4100	6220.0	1890	943	718	0.0	0	476	85600.00	10300	53400	79000.00	16000	8620	5150	2300	162000.00	5810.0	18400	155000.00	21700.0	1500.0	13100	4940
TH311_d66	66	0.0	142000.00	3440	6900.0	6180	1360	1370	686.0	685	4100	117000.00	8670	32200	66900.00	17900	12700	4580	2880	219000.00	8330.0	22800	175000.00	30000.0	4030.0	15000	9110
TH311_d66	66	0.0	223000.00	5940	6010.0	929	1210	884	0.0	601	299	29600.00	2610	25200	23300.00	4590	7120	1960	1290	61200.00	3370.0	6950	43900.00	11400.0	1580.0	4740	2020
TH319_d4+flu*	4*											3530.00*	15200*	17500*	3220.00*	27200*	6380*	1920*	1490*								
TH319_d4+flu*	4*											5740.00*	25800*	30300*	4910.00*	24700*	9040*	1940*	1050*								
TH319_d4	4											10600.00	12100	24600	5560.00	7020	1510	2430	1940								
TH319_d4	4											6180.00	11100	17200	5870.00	5930	2660	1080	482								
TH319_d7+flu*	7*	6040.0*	2510000.00*	73700*	76200.0*	17600*	4060*	4660*	486.0*	934*	852*	20900.00*	43900*	161000*	14700.00*	36000*	220000*	3530*	4830*	21800.00*	27100.0*	18500*	14400.00*	37200.0*	22600.0*	4220*	3430*
TH319_d7+flu*	7*	7770.0*	1860000.00*	45200*	50600.0*	11700*	3230*	2280*	282.0*	909*	1090*	16900.00*	29600*	159000*	8740.00*	28900*	219000*	3330*	3190*	17300.00*	27200.0*	25300*	8410.00*	43200.0*	27500.0*	3010*	5930*
TH319_d7	7	19700.0	3000000.00	82000	88700.0	13400	6620	3910	128.0	1250	686	27700.00	15900	43100	19400.00	20800	18300	3620	5370	40500.00	16000.0	22600	26400.00	27300.0	4090.0	4100	5720
TH319_d7	7	11400.0	2320000.00	63600	66600.0	16500	5060	4420	557.0	901	300	16500.00	14500	40500	14200.00	8060	14800	2380	5440	20600.00	14200.0	17400	17200.00	10700.0	5200.0	3330	4520
TH319_d14+flu*	14*	3050.0*	570000.00*	30000*	34900.0*	33100*	4980*	10500*	1060.0*	867*	984*	70900.00*	17000*	92100*	31500.00*	27300*	26300*	4940*	6380*	110000.00*	12800.0*	23500*	35700.00*	31600.0*	3190.0*	7560*	6660*
TH319_d14+flu*	14*	4190.0*	657000.00*	33200*	33000.0*	35000*	6010*	13500*	1390.0*	950*	758*	50500.00*	9400*	65300*	24600.00*	13500*	28400*	4100*	7820*	121000.00*	11000.0*	19500*	38400.00*	25900.0*	2640.0*	5860*	8330*
TH319_d14	14	10100.0	2650000.00	139000	122000.0	77600	16800	24900	1690.0	2980	397	121000.00	10600	69800	44700.00	20900	5640	6480	9120	270000.00	11000.0	36700	88300.00	43100.0	1090.0	9660	10500
TH319_d14	14	5320.0	1370000.00	57300	75100.0	62800	9560	17600	2400.0	1800	971	113000.00	8110	45700	42200.00	12900	8540	4520	9260	213000.00	9470.0	27800	77800.00	19100.0	2330.0	9750	11300
TH319_d29+flu*	29*	38.5*	5730.00*	1690*	3410.0*	11200*	1640*	5030*	524.0*	260*	1240*	88700.00*	12500*	59300*	42200.00*	30200*	17200*	6280*	3860*	128000.00*	7050.0*	11600*	53800.00*	23500.0*	714.0*	6800*	4320*
TH319_d29+flu*	29*	0.0*	5910.00*	2400*	11500.0*	19500*	4460*	7750*	1170.0*	548*	960*	112000.00*	12200*	55800*	58500.00*	27000*	25600*	6620*	4760*	144000.00*	7830.0*	15700*	58000.00*	27100.0*	1550.0*	7150*	4500*
TH319_d29	29	0.0	62800.00	10100	22800.0	31600	7480	14600	1160.0	968	972	187000.00	9000	45100	102000.00	26400	7340	8660	5950	248000.00	6520.0	17600	133000.00	26300.0	2710.0	13800	7900
TH319_d29	29	49.3	50800.00	5180	12200.0	17400	2920	6330	1530.0	843	497	110000.00	4470	27400	89200.00	20800	5790	6120	7280	145000.00	2690.0	13500	72400.00	19600.0	2510.0	9510	8200
TH328_d7	7	478.0	1660000.00	33400	53000.0	38300	2860	2380	476.0	478	1430	23000.00	10100	20200	12300.00	10900	1550	3860	0	43900.00	5370.0	7090	25900.00	11800.0	0.0	3420	3890
TH328_d7	7	0.0	1610000.00	25500	67900.0	33400	4190	6480	0.0	464	466	12600.00	5400	15400	7200.00	7660	3170	3640	3610	45600.00	6350.0	10800	27300.00	19600.0	530.0	3430	4240
TH328_d7	7	3170.0	5070000.00	122000	288000.0	118000	21700	15600	2320.0	5200	2880	52000.00	14900	35400	23600.00	11600	3870	7200	4980	121000.00	13700.0	15300	71100.00	18300.0	806.0	7180	6450
TH328_d7	7	1340.0	3510000.00	32100	77800.0	16100	1510	3030	502.0	671	1340	13800.00	8710	40400	1870.00	13100	14900	2520	4310	28700.00	7040.0	10500	11300.00	15800.0	861.0	2030	2900
TH328_d44	44	1750.0	319000.00	10700	28100.0	35300	4750	15700	2710.0	1590	1270	263000.00	11200	39200	177000.00	27300	2980	17700	6070	357000.00	7530.0	14300	233000.00	17800.0	1310.0	17700	7870
TH328_d44	44	4370.0	1210000.00	22600	52400.0	28300	5900	13800	1890.0	1900	3040	246000.00	11400	52200	156000.00	22600	5980	20300	8170	406000.00	7620.0	14300	282000.00	21600.0	659.0	25900	6730
TH328_d44	44	1270.0	382000.00	5160	10100.0	6460	1130	3700	467.0	468	399	103000.00	3940	32800	62100.00	18100	3680	9150	5850	214000.00	4960.0	15400	114000.00	17800.0	1620.0	14300	6630
TH356_d10	10	10600.0	2840000.00	51600	70300.0	28500	4960	8160	479.0	1060	863	30900.00	21000	42500	10200.00	24800	6750	9660	6240	45300.00	20400.0	25100	16800.00	54400.0	1670.0	10000	10900
TH356_d10	10	17800.0	6270000.00	124000	155000.0	66500	14900	16900	1830.0	2410	2250	70100.00	38300	96400	30100.00	57600	13000	13000	11900	107000.00	32000.0	45500	40800.00	51800.0	3000.0	11200	12300
