Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH276_d15	15	225000	4.45e+007	746000	1530000	610000	155000	250000	40500	35200	23200	6770000.00	512000	1240000	4570000.00	1040000	120000	840000	375000	1.06e+007	429000	599000	9600000.00	1110000	41200	1080000	397000
TH276_d15	15	462000	5.56e+007	1080000	2230000	695000	271000	303000	60600	45600	27100	8180000.00	486000	1210000	5310000.00	1440000	166000	834000	436000	1.50e+007	519000	703000	1.08e+007	1720000	29000	1200000	390000
TH276_d64	64	494000	4.38e+007	1410000	819000	415000	104000	164000	31500	30300	32000	7570000.00	495000	2030000	5350000.00	938000	117000	678000	363000	9330000.00	347000	607000	8310000.00	1230000	25200	775000	456000
TH311_d8	8	19900	2.48e+007	777000	1160000	776000	159000	225000	36100	37700	74200	9140000.00	481000	1650000	6110000.00	1340000	164000	820000	339000	1.08e+007	342000	598000	9630000.00	1480000	93800	603000	281000
TH311_d8	8	31200	1.87e+007	499000	627000	572000	79100	269000	31000	21600	32500	9420000.00	487000	1860000	6740000.00	1270000	192000	1090000	294000	1.21e+007	432000	714000	1.19e+007	1450000	104000	954000	354000
TH311_d8	8	89900	3.43e+007	1070000	2060000	1680000	348000	714000	139000	50700	346000	9350000.00	363000	1130000	4640000.00	872000	102000	987000	141000	1.30e+007	291000	413000	7640000.00	1230000	37000	879000	173000
TH311_d8	8	17200	1.96e+007	606000	987000	697000	156000	259000	21200	32300	57800	4500000.00	241000	1120000	3110000.00	1100000	239000	531000	227000	1.31e+007	484000	606000	9990000.00	2550000	93100	1060000	358000
TH311_d66	66	23800	3.23e+007	892000	944000	619000	123000	163000	14100	13700	54000	7380000.00	516000	3210000	5710000.00	2130000	331000	528000	364000	5360000.00	230000	457000	4550000.00	1260000	37700	310000	168000
TH311_d66	66	27900	4.30e+007	1130000	1530000	746000	219000	247000	33800	30500	49500	8150000.00	495000	2230000	6830000.00	1130000	311000	591000	259000	1.56e+007	421000	951000	1.41e+007	1710000	112000	1040000	366000
TH311_d66	66	50700	5.19e+007	1320000	2030000	981000	216000	351000	50100	31500	205000	9540000.00	535000	2250000	5570000.00	1880000	211000	684000	215000	1.93e+007	587000	1190000	1.49e+007	2940000	103000	1250000	432000
TH311_d66	66	17900	3.78e+007	1030000	1840000	714000	251000	253000	45700	40600	72900	5690000.00	372000	1870000	3760000.00	1430000	255000	479000	199000	9960000.00	443000	738000	8050000.00	2540000	114000	803000	326000
TH319_d4+flu*	4*											5880000.00*	747000*	1480000*	4670000.00*	3770000*	380000*	776000*	364000*								
TH319_d4+flu*	4*											7660000.00*	822000*	1580000*	5520000.00*	3130000*	341000*	745000*	328000*								
TH319_d4	4											9230000.00	419000	1290000	6860000.00	1670000	97000	869000	373000								
TH319_d4	4											6060000.00	345000	1580000	6060000.00	1610000	138000	614000	289000								
TH319_d7+flu*	7*	88300*	1.68e+007*	423000*	515000*	409000*	73100*	172000*	16300*	13600*	28700*	6420000.00*	671000*	2260000*	4890000.00*	2750000*	1950000*	767000*	374000*	1.03e+007*	603000*	969000*	8410000.00*	3560000*	269000*	917000*	581000*
TH319_d7+flu*	7*	108000*	1.25e+007*	272000*	382000*	402000*	64200*	143000*	21300*	15200*	156000*	6010000.00*	405000*	2050000*	3870000.00*	1890000*	1540000*	529000*	347000*	8860000.00*	498000*	873000*	6230000.00*	3450000*	273000*	762000*	478000*
TH319_d7	7	194000	1.78e+007	423000	568000	274000	115000	150000	19100	22400	24100	6190000.00	217000	1200000	5610000.00	1170000	313000	465000	378000	1.18e+007	370000	735000	9680000.00	1940000	129000	874000	427000
TH319_d7	7	169000	1.76e+007	379000	554000	462000	97400	226000	31800	21300	46100	6740000.00	299000	1340000	5310000.00	971000	519000	466000	326000	9770000.00	353000	733000	7270000.00	1580000	281000	740000	335000
TH319_d14+flu*	14*	90700*	1.55e+007*	638000*	573000*	256000*	37200*	80200*	10600*	14400*	71300*	4670000.00*	372000*	1690000*	3290000.00*	1940000*	441000*	542000*	360000*	7040000.00*	336000*	772000*	5450000.00*	2280000*	119000*	707000*	450000*
TH319_d14+flu*	14*	184000*	2.63e+007*	1200000*	886000*	411000*	87000*	162000*	17900*	26900*	44300*	4710000.00*	261000*	1280000*	3230000.00*	1160000*	441000*	366000*	301000*	1.05e+007*	504000*	835000*	6730000.00*	2540000*	86300*	771000*	490000*
TH319_d14	14	221000	4.21e+007	1810000	1380000	471000	111000	155000	17700	30100	11900	5640000.00	234000	1420000	4750000.00	997000	150000	457000	331000	1.25e+007	392000	945000	1.03e+007	2130000	81600	1030000	521000
TH319_d14	14	177000	3.21e+007	1020000	951000	431000	89400	143000	23400	23400	67900	6350000.00	211000	1150000	4380000.00	1040000	240000	383000	289000	1.20e+007	290000	795000	7840000.00	1560000	137000	911000	428000
