Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH276_d15	15	99.38	78.18	39.25	15.75	18.41	4.14	27.38	7.69	4.06	27.30	1.29	26.45	12.60	1.04	4.72	10.33	5.24	5.65	0.96	25.43	12.19	0.77	3.44	11.86	5.95	7.71
TH276_d15	15	99.21	67.86	27.53	6.36	9.84	4.09	18.58	5.11	3.70	19.01	0.83	20.89	17.08	0.90	2.85	11.90	4.73	6.49	0.56	19.30	14.18	0.64	1.90	21.62	5.53	7.81
TH276_d64	64	99.40	85.77	56.41	18.52	9.11	14.01	16.55	10.83	6.53	12.66	1.18	27.81	11.96	1.61	6.01	21.05	4.69	4.44	0.67	23.83	14.78	0.95	4.63	19.43	5.10	6.10
TH311_d8	8	98.87	71.40	36.57	10.89	9.49	2.98	18.19	3.15	7.50	8.06	1.36	23.67	13.53	1.30	9.52	13.19	4.28	4.93	0.89	21.59	14.92	0.94	7.09	10.81	4.39	6.26
TH311_d8	8	98.54	75.57	37.76	11.66	7.73	0.88	10.85	7.14	4.04	18.28	1.27	21.87	9.45	1.88	14.30	25.26	3.29	3.04	0.71	19.36	8.86	1.00	8.74	9.88	3.81	4.20
TH311_d8	8	99.12	74.77	31.74	9.93	11.31	2.45	17.54	3.63	4.71	7.12	1.86	30.75	11.27	2.73	9.05	27.52	5.04	8.51	1.50	31.17	15.38	1.74	6.46	11.98	6.27	8.85
TH311_d8	8	96.08	71.20	37.84	9.82	8.51	2.71	19.22	8.20	7.69	7.60	1.53	28.23	14.82	1.58	9.12	32.75	6.58	7.64	0.66	17.69	10.30	1.07	6.65	10.18	3.54	4.84
TH311_d66	66	97.50	68.08	36.04	13.94	7.23	0.32	13.51	5.63	10.25	9.93	0.78	12.07	4.29	0.69	4.12	6.93	1.75	1.52	0.52	12.56	7.07	0.40	2.43	5.41	1.52	1.19
TH311_d66	66	97.42	55.47	25.68	8.00	7.17	1.42	16.25	4.23	0.78	12.63	0.46	14.10	5.25	0.72	1.76	7.02	1.37	2.24	0.36	14.60	6.01	0.63	2.27	10.64	1.15	1.78
TH311_d66	66	98.65	65.63	28.59	8.95	8.51	1.91	14.66	5.55	2.22	4.09	0.67	15.55	5.76	0.99	3.03	8.14	1.70	1.63	0.39	15.11	7.03	0.57	2.25	8.11	1.46	2.61
TH311_d66	66	96.67	42.15	17.00	3.38	3.86	0.71	6.99	1.96	1.49	3.29	0.61	16.82	5.85	0.57	2.00	4.96	1.77	0.65	0.30	10.69	6.07	0.55	1.78	7.95	1.41	1.87
TH319_d4+flu*	4*											1.49*	50.31*	19.13*	2.35*	10.88*	32.93*	7.17*	5.24*								
TH319_d4+flu*	4*											1.17*	49.02*	24.57*	2.37*	12.80*	43.84*	7.61*	5.93*								
TH319_d4	4											1.27	25.44	9.40	1.26	10.44	21.14	3.24	2.90								
TH319_d4	4											1.03	25.34	6.98	1.21	9.71	17.02	3.27	1.84								
TH319_d7+flu*	7*	99.75*	73.33*	37.29*	12.32*	12.12*	3.00*	23.77*	5.66*	5.43*	20.72*	1.79*	24.28*	19.29*	2.53*	4.76*	70.46*	4.00*	4.81*	0.89*	21.99*	9.86*	0.83*	2.87*	46.29*	3.13*	3.61*
TH319_d7+flu*	7*	99.87*	78.76*	38.97*	8.39*	7.06*	2.36*	12.30*	2.68*	2.41*	3.32*	1.20*	22.87*	16.68*	1.51*	4.06*	74.13*	3.86*	4.62*	0.76*	20.21*	13.29*	0.65*	3.16*	47.16*	4.20*	5.56*
TH319_d7	7	99.95	75.96	40.75	12.20	15.25	5.22	27.41	5.20	4.67	19.46	1.88	35.64	11.41	2.36	9.12	21.47	3.76	4.51	0.84	27.17	12.38	1.11	6.65	16.63	2.97	4.95
TH319_d7	7	99.92	76.24	38.94	10.91	10.48	10.86	27.01	6.73	5.26	12.47	0.90	35.71	15.88	1.43	12.40	26.67	4.80	6.50	0.74	29.58	14.75	1.13	8.72	23.12	4.58	7.29
TH319_d14+flu*	14*	99.66*	74.90*	37.88*	9.56*	9.81*	2.10*	13.25*	9.06*	8.09*	7.55*	1.48*	24.92*	13.86*	2.33*	5.99*	28.59*	4.07*	3.92*	0.96*	24.43*	13.40*	1.22*	4.38*	34.53*	4.52*	4.31*
TH319_d14+flu*	14*	99.90*	77.74*	42.96*	13.81*	15.08*	5.01*	26.86*	5.75*	4.63*	13.34*	2.00*	29.67*	15.17*	2.24*	7.85*	18.16*	7.82*	7.75*	0.78*	20.96*	15.78*	1.32*	4.15*	26.93*	4.07*	4.92*
TH319_d14	14	99.49	75.13	41.39	14.58	9.59	3.26	20.26	3.72	7.33	12.10	1.79	32.49	15.98	2.15	5.55	24.43	5.42	4.28	0.77	29.01	15.90	1.05	3.75	29.92	4.33	5.75
TH319_d14	14	99.69	73.77	40.57	10.64	9.70	3.00	20.41	5.69	4.49	6.83	0.68	25.60	13.33	1.16	3.89	24.56	3.23	3.94	0.61	23.16	13.89	0.94	3.30	19.63	3.74	5.65
TH319_d29+flu*	29*	99.27*	69.37*	29.09*	7.04*	8.13*	2.39*	19.63*	3.65*	3.73*	8.82*	1.99*	24.36*	10.42*	2.88*	4.57*	13.20*	4.07*	3.70*	0.87*	21.47*	9.64*	1.18*	2.64*	14.33*	2.81*	3.23*
TH319_d29+flu*	29*	99.83*	77.28*	37.41*	9.27*	6.49*	4.61*	18.16*	1.68*	4.66*	10.12*	1.57*	24.07*	10.85*	2.27*	3.33*	8.56*	4.20*	4.14*	0.71*	18.38*	13.39*	1.09*	2.07*	20.49*	3.23*	4.64*
TH319_d29	29	99.82	80.38	42.48	13.22	6.72	3.31	23.77	3.65	6.45	24.28	1.39	28.76	9.95	2.61	4.33	19.32	3.50	3.34	0.58	20.96	13.95	1.26	3.45	19.88	2.99	4.61
TH319_d29	29	99.71	73.62	33.30	7.45	5.33	4.18	19.59	3.38	2.26	5.73	1.50	32.51	10.74	2.73	5.31	13.41	3.09	4.31	0.66	22.84	11.46	1.38	2.92	13.69	3.38	4.08
TH328_d7	7	100.00	87.15	50.00	29.00	22.10	3.82	27.59	9.67	7.69	37.00	2.04	40.52	18.22	3.52	10.27	21.75	8.03	9.33	1.62	35.87	18.24	2.92	8.76	20.60	7.26	12.68
TH328_d7	7	100.00	91.09	60.52	31.29	25.21	9.06	42.08	4.17	9.09	42.38	2.29	43.44	21.78	5.12	18.81	36.49	11.19	13.31	1.84	34.22	19.86	3.63	14.04	26.24	7.95	13.89
TH328_d7	7	99.19	87.32	49.21	29.82	20.23	5.26	36.11	7.71	8.69	31.84	2.44	40.76	21.22	5.35	8.58	29.51	7.78	7.44	2.23	29.92	18.08	4.08	6.85	23.52	6.75	12.22
TH328_d7	7	100.00	90.67	63.66	42.17	6.44	1.27	11.01	2.53	4.00	8.78	1.97	27.45	13.00	2.05	14.36	27.28	4.46	4.13	1.13	20.10	11.52	1.96	13.25	14.60	3.97	3.82
TH328_d44	44	97.26	88.16	45.08	25.60	15.93	2.51	20.51	5.74	8.23	29.28	2.90	32.41	14.94	3.48	10.00	18.73	5.13	5.33	1.63	27.17	14.83	2.38	7.90	25.03	4.15	7.06
TH328_d44	44	97.80	88.51	38.91	23.06	15.09	2.13	20.56	5.53	11.08	22.44	2.80	35.21	17.30	3.45	11.90	22.54	5.37	5.67	1.36	28.91	13.93	1.84	8.41	19.27	3.75	7.01
TH328_d44	44	92.96	86.42	46.18	25.13	8.63	2.68	14.04	5.27	9.42	10.88	5.33	32.52	15.56	5.11	10.06	27.15	8.12	8.95	0.98	23.75	11.64	1.34	5.22	14.87	3.67	5.42
TH356_d10	10	99.65	79.62	44.17	14.57	10.95	2.58	18.51	6.73	4.30	3.67	1.38	31.15	13.07	2.10	12.31	17.74	5.11	4.65	0.86	28.44	16.46	1.31	8.91	25.23	5.27	7.89
TH356_d10	10	99.92	84.58	50.32	19.39	12.12	3.14	24.37	4.49	7.17	9.42	3.21	35.57	19.37	4.23	15.75	23.85	8.97	8.49	1.34	29.34	19.64	1.77	11.01	19.46	7.44	9.36
TH356_d10	10	99.78	84.50	51.22	20.20	14.96	1.68	20.70	10.67	4.73	6.88	2.75	35.06	19.24	2.96	13.46	21.90	7.72	5.18	1.32	31.36	17.81	1.42	9.95	17.10	5.98	7.66
