Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH276_d15	15	97.10	72.77	32.20	10.75	20.24	0.77	32.10	10.33	6.65	35.70	2.60	32.07	11.20	7.73	1.91	6.67	12.82	13.01	3.15	21.59	12.27	6.56	3.27	15.04	13.66	14.94
TH276_d15	15	100.00	57.14	15.44	2.03	10.05	2.74	15.75	10.04	0.00	0.00	1.40	11.02	17.60	4.50	10.11	9.06	20.43	0.00	1.21	16.35	19.49	4.19	0.00	14.36	29.27	11.82
TH276_d64	64	100.00	87.56	68.67	17.11	20.16	0.00	0.00	0.00	0.00	0.00	1.01	19.18	11.35	0.00	10.52	11.20	2.57	0.00	0.37	19.54	11.98	0.79	1.56	14.22	5.25	8.28
TH311_d8	8	50.00	66.58	36.59	11.79	10.86	0.00	17.92	24.90	20.03		4.48	61.73	40.24	7.11	21.67	25.00	0.00	39.39	13.86	37.10	42.11	20.00	13.12	40.21	55.56	20.65
TH311_d8	8	100.00	72.64	38.13	14.48	9.34	3.33	20.08	20.00	0.00	25.10	9.09	46.79	33.33	6.98	14.29	36.36	37.29	24.77	8.20	39.42	23.03	18.24	22.81	24.84	22.87	11.45
TH311_d8	8	100.00	72.18	36.71	12.08	16.42	2.86	16.67	10.14	10.05	25.37	13.98	54.50	29.92	17.53	18.60	35.29	34.74	37.62	8.71	40.00	31.45	10.96	15.00	75.00	36.25	37.97
TH311_d8	8		65.92	37.80	12.11	15.58	0.00	11.76	0.00	19.96	0.00	22.05	35.09	50.99	20.39	25.07	63.61	33.33	0.00	12.50	41.67	17.35	26.21	13.49	25.00	36.07	31.46
TH311_d66	66		78.26	44.90	16.45	100.00	0.00	0.00		0.00		1.67	0.00	4.05	0.00	3.06	13.95	0.00	0.00	0.91	24.56	0.00	0.00	2.81	0.00	0.00	50.00
TH311_d66	66	100.00	48.57	17.36	3.94	25.20	0.00	0.00			50.00	0.00	22.12	3.21	1.47	3.59	13.36	0.00	24.72	0.40	29.71	8.25	0.28	1.98	0.00	3.25	4.37
TH311_d66	66		65.69	38.46	0.00	0.00	0.00	0.00	0.00	0.00	16.50	0.97	33.33	3.56	0.83	6.41	9.15	0.00	0.00	0.97	9.86	9.38	0.31	0.89	0.00	1.75	5.69
TH311_d66	66		42.37	5.01	4.91	0.00	0.00	0.00		50.00	0.00	2.11	0.00	2.60	0.00	0.00	0.00	0.00	0.00	0.73	39.47	6.48	1.02	1.97	14.49	0.00	11.15
TH319_d4+flu*	4*											35.00*	88.24*	67.80*	33.33*	19.44*	74.40*	64.78*	63.41*								
TH319_d4+flu*	4*											32.00*	85.03*	70.31*	31.46*	22.78*	91.32*	38.46*	37.50*								
TH319_d4	4											20.00	61.38	45.55	30.86	35.71	70.51	39.29	36.54								
TH319_d4	4											20.59	56.66	55.96	15.46	26.43	67.71	43.18	16.17								
TH319_d7+flu*	7*	99.33*	66.98*	39.08*	14.19*	18.10*	3.06*	25.09*	25.08*	4.38*	52.53*	20.00*	32.57*	40.45*	50.00*	21.37*	77.28*	41.30*	32.56*	9.95*	26.73*	37.17*	29.82*	9.18*	67.02*	45.65*	20.34*
TH319_d7+flu*	7*	100.00*	72.53*	42.05*	10.74*	12.67*	3.98*	16.35*	0.00*	6.86*	28.57*	21.99*	35.25*	37.89*	42.48*	15.03*	82.28*	20.63*	23.91*	12.82*	31.99*	32.76*	11.11*	6.55*	71.20*	24.05*	18.55*
TH319_d7	7	99.57	70.46	39.69	14.80	19.30	3.31	36.15	0.00	10.41	31.23	19.46	57.90	41.06	24.86	22.03	59.90	44.87	32.39	7.25	40.18	33.12	15.75	8.51	44.79	21.11	20.90
TH319_d7	7	99.63	69.39	41.04	13.48	14.85	5.96	30.10	15.43	0.00	43.08	14.29	62.47	47.19	17.60	24.10	55.44	39.22	20.96	9.95	45.52	39.92	11.02	22.06	37.84	37.78	24.44
TH319_d14+flu*	14*	100.00*	67.57*	28.30*	8.05*	7.48*	0.75*	19.33*	10.67*	17.38*	7.97*	4.54*	18.64*	14.84*	11.46*	8.51*	13.23*	13.19*	19.77*	3.02*	16.62*	12.79*	9.92*	4.90*	28.84*	26.17*	16.89*
TH319_d14+flu*	14*	100.00*	75.20*	40.94*	10.48*	11.74*	4.20*	27.70*	0.00*	0.00*	0.00*	5.87*	19.17*	14.31*	15.79*	16.38*	11.94*	35.71*	37.69*	2.69*	10.50*	16.24*	10.68*	8.73*	22.22*	23.68*	12.94*
TH319_d14	14	99.02	70.48	38.20	11.61	9.59	2.99	27.95	0.00	13.33	75.08	4.61	49.23	23.01	15.96	9.52	22.02	16.90	27.17	2.46	20.64	19.28	9.09	3.70	0.00	11.70	14.36
TH319_d14	14	100.00	68.38	30.55	6.84	8.72	5.52	22.16	9.38	4.17	30.77	3.04	33.33	20.45	9.75	6.02	27.53	16.95	29.28	2.19	21.10	16.62	8.27	3.02	32.35	14.02	10.94
TH319_d29+flu*	29*	100.00*	35.90*	35.48*	3.30*	8.54*	2.26*	20.00*	21.51*	14.29*	9.09*	4.48*	18.18*	8.85*	8.56*	13.33*	7.26*	18.38*	15.93*	1.54*	13.30*	9.70*	5.46*	4.81*	9.93*	11.20*	11.54*
TH319_d29+flu*	29*		26.72*	25.80*	4.72*	6.04*	12.23*	24.68*	0.00*	0.00*	21.28*	4.40*	18.77*	8.10*	8.21*	11.64*	7.93*	4.96*	8.55*	0.80*	15.77*	17.81*	1.87*	3.45*	20.00*	9.59*	0.00*
TH319_d29	29		33.33	10.54	4.24	8.31	0.00	16.71	0.00	9.86	60.07	2.21	34.98	10.51	4.82	10.22	19.10	8.42	5.73	0.92	20.35	13.55	3.61	2.62	25.68	7.80	10.00
