Mouse	"time since TAM start (days)"	SP.CD4s	SP.CD8s	LN.CD4s	LN.CD8s
TH276_d15	15	1.3101	2.5120	1.099494	1.762367
TH276_d15	15	0.8950	4.8034	1.053232	4.352273
TH276_d64	64	0.7842	1.5115	1.103448	2.617047
TH311_d8	8	0.8622	3.6667	0.817204	1.719858
TH311_d8	8	0.7358	6.9474	0.684647	2.754386
TH311_d8	8	0.5635	6.9186	0.787302	1.520000
TH311_d8	8	0.5698	8.4726	0.907407	1.832061
TH311_d66	66	1.5898	1.3593	1.666667	1.911447
TH311_d66	66	1.1524	1.9493	1.405797	1.051383
TH311_d66	66	0.8833	6.3197	1.352113	3.826831
TH311_d66	66	1.9214	8.7188	1.238158	3.074661
TH319_d4+flu*	4*	0.5784*	2.3333*		
TH319_d4+flu*	4*	0.6115*	3.3544*		
TH319_d4	4	0.6586	3.7143		
TH319_d4	4	0.3375	5.2316		
TH319_d7+flu*	7*	1.0887*	8.6336*	0.425390*	8.059273*
TH319_d7+flu*	7*	1.0601*	9.2941*	0.530165*	8.043131*
TH319_d7	7	0.4877	3.3107	0.711316	2.248227
TH319_d7	7	0.6247	3.4337	0.592040	2.720588
TH319_d14+flu*	14*	1.1974*	4.2340*	0.804749*	1.923631*
TH319_d14+flu*	14*	1.4167*	5.5603*	1.068493*	3.002944*
TH319_d14	14	1.0839	1.7952	1.384342	0.661728
TH319_d14	14	1.0313	2.8594	1.067278	1.385493
TH319_d29+flu*	29*	1.1091*	2.7556*	0.756881*	0.800370*
TH319_d29+flu*	29*	0.9877*	3.5411*	0.842308*	1.303735*
TH319_d29	29	0.9736	1.4355	1.110619	1.847690
TH319_d29	29	0.8730	1.4076	1.657343	1.596067
TH328_d7	7	0.7401	2.0519	1.061538	0.000000
TH328_d7	7	0.9362	2.5517	1.028090	1.295918
TH328_d7	7	0.9450	2.9348	0.864198	2.273684
TH328_d7	7	0.9869	6.2936	0.969697	1.155172
TH328_d44	44	1.0507	1.4551	1.037383	1.453168
TH328_d44	44	0.9745	1.4727	1.169903	0.912052
TH328_d44	44	1.1582	0.9767	0.939394	1.473328
TH356_d10	10	0.5319	2.0760	0.726115	1.054217
TH356_d10	10	0.6805	2.9498	0.755752	1.580110
TH356_d10	10	0.6721	3.4865	0.719081	1.721893
TH356_d10	10	0.4836	4.1678	0.732218	2.386076
TH359_d21	21	1.1610	1.4041	0.831276	0.788043
TH359_d21	21	0.6468	3.0715	0.943878	0.357583
TH359_d21	21	1.3770	0.6000	1.227848	1.680209
TH359_d21	21	0.5913	1.6018	0.718605	1.129944
TH362_d4	4	0.4076	11.5000	0.482490	3.891051
TH362_d4	4	0.4293	7.6000	0.662393	3.620690
TH362_d4	4	0.4719	7.1500	0.674107	2.192308
TH356_d100	99	0.8122	0.7906	1.050000	1.188555
"TH356_d100 WEIRD THYMUS*"	99*	0.7631*	1.4957*	0.824268*	1.242560*
TH356_d100	99	1.4171	1.0586	1.036697	1.013094
"TH356_d100 no TAM ctrl"	0				
TH362_d17	17	0.7767	5.0551	1.282723	0.706567
TH362_d17	17	0.7282	1.8873	1.079498	1.637694
"TH362_d17 no TAM ctrl"	0				
TH362_d24	24	1.1303	3.9042	0.973770	2.175481
TH362_d24	24	1.4467	1.6069	1.072464	1.462639
"TH362_d24 no TAM ctrl"	0				0.000000
TH362_d38	38	0.8401	1.1571	0.917112	1.279070
TH362_d38	38	1.0816	3.0692	1.040590	1.133721
"TH362_d38 no TAM"	0				23.224040
TH362_d52	52	0.9294	1.4694	1.119048	1.239588
TH362_d52	52	0.8718	0.9236	1.103139	0.960265
"TH362_d52 no TAM"	0	0.9444		0.343333	0.000000
