Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH276_d15	15	99.21	77.66	38.39	15.03	18.82	3.44	28.33	8.18	4.34	28.59	1.34	26.82	12.47	1.16	4.66	10.14	5.42	5.91	1.05	25.18	12.20	0.88	3.43	12.00	6.11	8.05
TH276_d15	15	99.18	67.62	27.03	6.18	9.85	3.97	18.31	5.38	3.57	18.10	0.85	20.52	17.10	0.94	2.90	11.81	4.88	6.38	0.57	19.23	14.34	0.67	1.88	21.35	5.73	7.89
TH276_d64	64	99.39	85.79	56.46	18.51	9.13	14.00	16.50	10.80	6.44	12.50	1.18	27.56	11.96	1.59	6.05	20.94	4.67	4.38	0.66	23.74	14.73	0.95	4.60	19.31	5.10	6.14
TH311_d8	8	97.81	70.85	36.56	10.98	9.57	2.79	18.19	3.68	8.24	8.06	1.37	24.41	13.98	1.31	9.59	13.45	4.27	5.16	0.93	21.89	15.34	0.97	7.12	11.09	4.53	6.48
TH311_d8	8	98.66	75.26	37.80	11.97	7.81	1.08	11.08	7.59	3.96	18.46	1.29	22.54	9.92	1.89	14.30	25.78	3.49	3.28	0.74	19.85	9.09	1.03	8.82	10.11	3.88	4.29
TH311_d8	8	99.12	74.40	32.33	10.17	11.59	2.48	17.51	3.72	4.91	7.25	1.92	31.76	11.73	2.81	9.13	28.00	5.32	9.09	1.53	31.46	15.78	1.78	6.54	12.94	6.51	9.54
TH311_d8	8	96.10	70.78	37.84	9.99	8.73	2.59	19.06	7.94	8.33	7.56	1.56	28.43	15.37	1.60	9.18	33.67	6.68	7.59	0.67	17.95	10.37	1.10	6.67	10.28	3.61	5.08
TH311_d66	66	97.50	68.14	36.12	13.96	7.25	0.32	13.50	5.63	10.10	9.93	0.79	12.00	4.29	0.69	4.11	7.02	1.74	1.51	0.53	12.64	7.00	0.40	2.44	5.31	1.51	1.39
TH311_d66	66	97.45	55.47	25.66	7.98	7.21	1.41	16.20	4.23	0.78	12.98	0.46	14.26	5.21	0.73	1.78	7.20	1.36	2.44	0.36	14.81	6.06	0.62	2.27	10.50	1.18	1.82
TH311_d66	66	98.60	65.68	28.60	8.92	8.46	1.90	14.60	5.48	2.17	4.34	0.67	15.84	5.73	0.99	3.06	8.20	1.69	1.61	0.40	15.04	7.08	0.56	2.24	7.79	1.46	2.67
TH311_d66	66	96.70	42.15	16.93	3.39	3.85	0.71	6.97	1.96	2.21	3.28	0.62	16.70	5.81	0.57	1.99	4.82	1.76	0.65	0.30	10.90	6.07	0.56	1.78	8.04	1.40	1.93
TH319_d4+flu*	4*											1.51*	51.10*	19.70*	2.37*	10.94*	33.65*	7.31*	5.48*								
TH319_d4+flu*	4*											1.19*	50.17*	25.45*	2.40*	12.88*	45.12*	7.69*	6.03*								
TH319_d4	4											1.29	26.48	10.09	1.29	10.55	21.90	3.34	3.07								
TH319_d4	4											1.05	26.33	7.51	1.23	9.78	18.00	3.35	1.87								
TH319_d7+flu*	7*	99.70*	72.40*	37.60*	12.60*	12.38*	3.00*	23.78*	6.24*	5.36*	21.66*	1.85*	24.83*	20.78*	2.67*	4.98*	71.24*	4.17*	5.17*	0.91*	22.20*	10.38*	0.88*	2.94*	48.05*	3.32*	3.71*
TH319_d7+flu*	7*	99.88*	77.90*	39.48*	8.70*	7.22*	2.44*	12.36*	2.64*	2.68*	3.50*	1.26*	23.78*	18.34*	1.61*	4.23*	75.30*	3.96*	4.80*	0.79*	20.85*	13.85*	0.67*	3.20*	49.57*	4.28*	5.72*
TH319_d7	7	99.90	75.10	40.50	12.61	15.44	5.11	27.64	5.17	4.99	19.79	1.96	37.25	12.47	2.44	9.35	23.71	4.08	4.90	0.87	27.74	13.02	1.15	6.67	17.52	3.06	5.17
TH319_d7	7	99.94	75.28	39.29	11.21	10.63	10.61	27.09	6.88	5.04	12.68	0.94	37.03	16.83	1.48	12.50	27.48	4.97	6.74	0.76	30.23	15.35	1.16	8.81	23.40	4.73	7.52
