Mouse	"time since TAM start (days)"	"SP.4EM / SP.4CM"	"SP.8EM / SP.8CM"	"LN.4EM / LN.4CM"	"LN.8EM / LN.8CM"		"SP.4EM / SP.4nai"	"SP.8EM / SP.8nai"	"LN.4EM / LN.4nai"	"LN.8EM / LN.8nai"		"SP.4CM / SP.4nai"	"SP.8CM / SP.8nai"	"LN.4CM / LN.4nai"	"LN.8CM / LN.4nai"		"SP.4nai / matSP4"	"SP.8nai / matSP8"	"LN.4nai / matSP4"	"LN.8nai / matSP8"		"TH.matSP4 / TH.immSP4"	"TH.matSP8 / TH.immSP8"	LN.8CM	"SP.8CM / TH.8mem"	"LN.8CM / TH.8mem"
TH276_d15	15	1.3101	2.5120	1.099494	1.762367		2.255208	2.900552	1.578692	2.180328		1.721354	1.154696	1.435835	1.237158		0.164666	0.090364	0.177101	0.091363		1.638791286	0.969506292		0.135890767	0.147204161
TH276_d15	15	0.8950	4.8034	1.053232	4.352273		1.910364	3.140496	1.520307	3.822355		2.134454	0.653811	1.443469	0.878244		0.239276	0.113556	0.244236	0.104484		1.723659889	1.093500570		0.147717842	0.182572614
TH276_d64	64	0.7842	1.5115	1.103448	2.617047		2.098992	1.237624	1.692808	2.021326		2.676444	0.818812	1.534107	0.772369		8.798387	3.258065	9.146855	3.479032		1.631578947	3.131313131		0.641085271	0.645736434
TH311_d8	8	0.8622	3.6667	0.817204	1.719858		7.687409	21.286890	5.692884	7.760000		8.915575	5.805515	6.966292	4.512000		0.037903	0.026844	0.046034	0.032468		0.534069982	0.599688474			
TH311_d8	8	0.7358	6.9474	0.684647	2.754386		8.441558	26.860470	5.409836	9.874214		11.471860	3.866279	7.901639	3.584906		0.047925	0.071967	0.063278	0.066527		0.444649446	0.294697904		0.252851711	0.216730038
TH311_d8	8	0.5635	6.9186	0.787302	1.520000		5.247312	12.268040	5.145228	3.470320		9.311828	1.773196	6.535270	2.283105		0.085793	0.158497	0.088930	0.143137		0.481349911	0.397402597		1.283582090	1.492537313
TH311_d8	8	0.5698	8.4726	0.907407	1.832061		11.889760	28.543690	8.750000	6.990291		20.866140	3.368932	9.642857	3.815534		0.041234	0.046606	0.036364	0.046606		0.405263158	0.511574074		0.598275862	0.677586207
TH311_d66	66	1.5898	1.3593	1.666667	1.911447		1.882400	2.114754	1.384396	3.000000		1.184026	1.555738	0.830637	1.569492		15.571880	5.083333	21.444380	4.916667		0.083550914	0.750000000			
TH311_d66	66	1.1524	1.9493	1.405797	1.051383		2.282857	2.394123	1.876009	1.205759		1.980952	1.228176	1.334481	1.146831		4.133858	3.989655	4.071299	3.803586		0.625615764	0.674418605		1.480208333	1.317708333
TH311_d66	66	0.8833	6.3197	1.352113	3.826831		1.161526	5.008333	1.697613	3.323080		1.314935	0.792500	1.255526	0.868363		1.955556	3.076923	1.795238	3.009256		1.852941176	0.619047619		0.475500000	0.509560000
