Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg	
TH276_d15	15	7.94	8.74	12.08	14.23	23.32	20.66	20.03	18.29	10.82	15.38	3.84	6.61	8.66	1.81	2.09	5.25	2.34	3.46	4.13	5.93	6.52	1.83	2.26	3.99	2.05	4.820	4.820
TH276_d15	15	1.48	2.31	4.08	4.33	7.46	8.77	9.59	5.38	3.57	4.82	1.79	3.81	3.41	1.09	0.71	3.42	0.93	1.65	1.82	2.63	2.77	1.00	0.88	3.83	0.82	2.030	2.030
TH276_d64	64	0.19	0.22	0.23	0.08	0.12	0.10	0.31	0.33	1.36	1.29	1.09	2.92	2.29	1.01	0.83	1.25	0.93	1.34	1.13	1.74	1.92	1.08	0.83	2.18	1.16	1.690	1.690
TH311_d8	8	2.22	11.19	11.37	10.86	5.80	6.42	3.85	2.45	5.89	0.00	0.22	1.96	1.69	0.10	0.60	2.20	0.27	0.66	0.27	1.86	1.52	0.13	0.56	0.97	0.27	1.550	1.550
TH311_d8	8	6.16	12.06	12.59	10.84	4.82	8.11	2.39	3.45	1.98	2.63	0.23	2.65	1.95	0.17	0.67	4.62	0.59	1.09	0.31	2.41	1.65	0.16	0.57	1.57	0.38	1.310	1.310
TH311_d8	8	3.62	12.33	12.34	11.26	5.42	7.70	3.06	1.38	3.78	0.67	0.47	4.33	2.44	0.49	0.86	5.95	0.95	2.02	0.48	3.15	2.48	0.44	1.00	1.52	0.80	2.370	2.370
TH311_d8	8	0.00	8.01	9.10	7.60	3.08	4.32	2.21	3.17	5.21	0.58	0.13	2.65	1.51	0.10	0.35	2.94	0.36	0.70	0.11	1.08	0.98	0.10	0.39	0.72	0.22	0.890	0.890
TH311_d66	66	0.00	0.69	0.49	0.38	0.03	0.16	0.12	0.00	1.45	0.00	0.50	0.59	0.94	0.61	0.95	1.29	0.81	0.50	0.69	0.57	0.95	0.59	0.93	1.77	0.65	0.400	0.400
TH311_d66	66	0.85	0.35	0.36	0.41	0.25	0.43	0.29	0.00	0.00	0.96	1.05	2.08	2.40	1.16	1.42	2.77	0.87	0.89	1.03	1.38	1.94	1.10	1.27	1.33	1.26	1.349	1.349
TH311_d66	66	0.00	0.27	0.26	0.34	0.63	0.63	0.39	1.37	2.17	2.00	1.23	1.62	1.43	1.20	0.95	6.01	0.67	1.34	1.13	1.42	1.92	1.17	1.02	3.90	1.20	2.110	2.110
TH311_d66	66	0.00	0.59	0.58	0.33	0.13	0.48	0.35	0.00	1.48	0.41	0.52	0.70	1.35	0.62	0.32	2.79	0.41	0.65	0.61	0.76	0.94	0.55	0.45	1.38	0.59	0.619	0.619
TH319_d4+flu*	4*											0.06*	2.04*	1.18*	0.07*	0.72*	1.68*	0.25*	0.41*									
TH319_d4+flu*	4*											0.08*	3.14*	1.92*	0.09*	0.79*	2.65*	0.26*	0.32*									
TH319_d4	4											0.12	2.90	1.91	0.08	0.42	1.56	0.28	0.52									
TH319_d4	4											0.10	3.23	1.09	0.10	0.37	1.92	0.18	0.17									
TH319_d7+flu*	7*	6.85*	14.93*	17.40*	14.80*	4.31*	5.55*	2.71*	2.99*	6.85*	2.97*	0.33*	6.54*	7.12*	0.30*	1.31*	11.31*	0.46*	1.29*	0.21*	4.49*	1.91*	0.17*	1.05*	8.43*	0.46*	0.590*	0.590*
TH319_d7+flu*	7*	7.18*	14.89*	16.60*	13.22*	2.92*	5.03*	1.59*	1.32*	5.98*	0.70*	0.28*	7.32*	7.76*	0.23*	1.53*	14.22*	0.63*	0.92*	0.20*	5.47*	2.90*	0.14*	1.25*	10.07*	0.40*	1.240*	1.240*
