"","receptor","model","parameter","upper","lower","value"
"1","CD4","simple_abs","theta",0.990613454292492,0.511792824596081,0.731448220092278
"2","CD4","simple_abs","mu",0.0561486338389432,0.0184367072615812,0.0376111924694565
"3","CD4","simple_abs","N",33802.0057759497,13036.2508204735,20082.8363983084
"4","CD8","simple_abs","theta",1.5,0.546332210781614,0.919874284419814
"5","CD8","simple_abs","mu",0.0512547301509996,0.01,0.0274258275598243
"6","CD8","simple_abs","N",31011.191508352,10004.1837869955,16524.5702844825
"7","CD4","simple_frac","theta",0.991437914468239,0.54544746079829,0.768907758887904
"8","CD4","simple_frac","mu",0.0511722199050423,0.0263627601837867,0.0396744364826663
"9","CD4","simple_frac","N",0.00156859832880815,0.000736767992423931,0.000971231585380764
"10","CD8","simple_frac","theta",1.30080390367604,0.582409220804686,0.933894004021448
"11","CD8","simple_frac","mu",0.0453184986874565,0.0125619941167425,0.0310592902914731
"12","CD8","simple_frac","N",0.00215811646198239,0.000728284959602026,0.00116184897287826
"13","CD4","flow_frac","Theta",0.968914078197904,0.499097577479992,0.717056616313018
"14","CD4","flow_frac","mu",0.0551156102332923,0.0205505152381353,0.0389483350035585
"15","CD4","flow_frac","beta",0.664148017486544,0.355676403983992,0.496071917785507
"16","CD4","flow_frac","p",0.00409884985786905,0.0012925393932717,0.00252047402486567
"17","CD4","flow_frac","lp",0.423171598081517,0.00914664482531249,0.337255065344929
"18","CD4","flow_frac","N",32854.1701813247,13070.1381345145,20580.9674528799
"19","CD8","flow_frac","Theta",1.42203662445709,0.531783221907986,0.965238969773835
"20","CD8","flow_frac","mu",0.0479719627578375,0.01,0.0276901128079421
"21","CD8","flow_frac","beta",0.294155454409822,0.142633639952823,0.206830411244923
"22","CD8","flow_frac","p",NA,NA,NA
"23","CD8","flow_frac","lp",0.304509512364597,0.164616858512425,0.204037381138443
"24","CD8","flow_frac","N",30226.2981137449,9567.26387824288,15913.2805085694
"25","CD4","simple_sim_abs","a",-4559.48000822944,-16872.2378349199,-11638.7690261574
"26","CD4","simple_sim_abs","b",1.7750839854603,1.0001,1.08905974591458
"27","CD4","simple_sim_abs","c",0.162834093864521,0.0941296144456083,0.115527878986658
"28","CD4","simple_sim_abs","Theta",0.939240728954912,0.525792364162527,0.740527298228842
"29","CD4","simple_sim_abs","mu",0.0567112756770607,0.0209004522023042,0.0384015554582647
"30","CD4","simple_sim_abs","M",2974.46078835065,1000,1511.38963752766
"31","CD4","simple_sim_abs","N",33446.2679291969,14808.470711325,20295.0769172355
"32","CD8","simple_sim_abs","a",-558.650309581417,-3448.93342695162,-1290.24240044588
"33","CD8","simple_sim_abs","b",2,1.00010003537669,1.56763122918331
"34","CD8","simple_sim_abs","c",0.167021832797205,0.0877227436618898,0.125152025499781
"35","CD8","simple_sim_abs","Theta",1.39868565515845,0.592814065846369,1.00023096354467
"36","CD8","simple_sim_abs","mu",0.0546619185893532,0.00435655224165446,0.0284098428762689
"37","CD8","simple_sim_abs","M",1000.00007704009,1000,1000
"38","CD8","simple_sim_abs","N",29106.4738295291,9043.48966688283,13975.2604547694
"39","CD4","simple_sim_frac","a",0.329127136735757,0.191578282701906,0.268337147599291
"40","CD4","simple_sim_frac","b",0.0865156626311307,0.0550557899289663,0.0740873965038255
"41","CD4","simple_sim_frac","Theta",0.742308981845927,0.510154556578858,0.592100876901698
"42","CD4","simple_sim_frac","mu",0.0409346702924294,0.0186578466978172,0.0288305194169422
"43","CD4","simple_sim_frac","tau",5,4.99863717818858,4.99989889864364
"44","CD4","simple_sim_frac","Z",0.00100001306867443,0.001,0.001
"45","CD4","simple_sim_frac","l",0.000879566571411768,0.000100316203805944,0.00075658677447059
"46","CD8","simple_sim_frac","a",0.0930794521047706,0.00100000197536926,0.0365356581272176
"47","CD8","simple_sim_frac","b",0.0454723411794859,0.0257528962715126,0.032988140264772
"48","CD8","simple_sim_frac","Theta",0.756977181426303,0.514182019975656,0.625141950977975
"49","CD8","simple_sim_frac","mu",0.0255001156191168,0.00132076695248314,0.0138452302072611
"50","CD8","simple_sim_frac","tau",5,3.89182573928194,5
"51","CD8","simple_sim_frac","Z",0.00100000432788905,0.001,0.00100000002046217
"52","CD8","simple_sim_frac","l",0.000628340887544922,0.000100057076696907,0.000561325637406211
"53","CD4","flow_sim_frac","a.k",3604.00151650034,1012.8762736033,1586.63160070672
"54","CD4","flow_sim_frac","b.k",1.00045179530703,1.00010000000109,1.0001003346824
"55","CD4","flow_sim_frac","c.k",0.234762511715224,0.100523667146008,0.124659291523606
"56","CD4","flow_sim_frac","a",4999.99999998993,4992.4105666018,4999.99583750818
"57","CD4","flow_sim_frac","b",2.42430169128732,1.39867705917796,1.63622502467943
"58","CD4","flow_sim_frac","c",0.327781597593974,0.118044813618849,0.146833066401222
"59","CD4","flow_sim_frac","Theta",1.28246537728916,0.586004901927665,0.969686672867577
"60","CD4","flow_sim_frac","mu",0.0855686941513497,0.0288634652969031,0.0578285351939815
"61","CD4","flow_sim_frac","beta",0.385305229715174,0.100004925280307,0.249553878189136
"62","CD4","flow_sim_frac","Kplus",499.999901789386,88.4093997054123,316.537461224535
"63","CD4","flow_sim_frac","Y",5494.49424014896,384.860954068364,1705.29262255372
"64","CD4","flow_sim_frac","lp",0.408369675643667,0.166722247701835,0.315820737175033
"65","CD4","flow_sim_frac","N",49719.4116890889,16441.6109733312,23246.7312555229
"66","CD8","flow_sim_frac","a.k",938.325943333868,291.746254286482,665.23793260158
"67","CD8","flow_sim_frac","b.k",1.51715176671422,1.00010000002819,1.00010165062991
"68","CD8","flow_sim_frac","c.k",0.128450673679923,0.0788335584621341,0.0982735751636654
"69","CD8","flow_sim_frac","a",3364.17508838646,521.808172561412,1461.07529490415
"70","CD8","flow_sim_frac","b",2.25175531724678,1.00052246493007,1.49415738067732
"71","CD8","flow_sim_frac","c",0.181005407522716,0.0822231276553249,0.117156393930275
"72","CD8","flow_sim_frac","Theta",1.35885727784932,0.623356525632079,0.998004766102059
"73","CD8","flow_sim_frac","mu",0.0509001610753486,0.0100000887886317,0.0270159577298035
"74","CD8","flow_sim_frac","beta",0.334426414457213,0.135045712027679,0.214868551053452
"75","CD8","flow_sim_frac","Kplus",268.685375047303,37.0811833313365,152.22395134868
"76","CD8","flow_sim_frac","Y",988.335295686635,463.575707953448,775.42479377629
"77","CD8","flow_sim_frac","lp",0.316963353740135,0.171199391033342,0.212041586115368
"78","CD8","flow_sim_frac","N",28217.3043066683,9042.00997385656,13471.3752138536
